Date,Open,High,Low,Close,Volume
11/1/2024,3527.13,3556.29,3524.33,3555.43,224087700
11/4/2024,3572.19,3582.04,3566.42,3572.04,259630546
11/5/2024,3562.32,3581.61,3555.27,3581.61,382339600
11/6/2024,3584.19,3606.92,3578.52,3602.99,450383228
11/7/2024,3633.73,3686.64,3623.56,3673.49,510622800
11/8/2024,3696,3742.82,3685.96,3724.37,281179256
11/11/2024,3743.4,3760.84,3705.53,3739.47,248240300
11/12/2024,3730.55,3736.99,3699.91,3711.48,270781362
11/13/2024,3680.07,3723.58,3670.7,3720.34,271251759
11/14/2024,3716.47,3738.16,3699.5,3738.16,283067800
11/15/2024,3730.89,3748.72,3722.24,3744.7,276241600
11/18/2024,3735.42,3754.82,3727.94,3732.55,344723600
11/19/2024,3739.25,3766.93,3738.42,3757.97,280926500
11/20/2024,3761.55,3766.79,3741.72,3743.64,338465608
11/21/2024,3738.89,3751.25,3736.16,3739.22,312065298
11/22/2024,3755.04,3755.04,3738.75,3746.02,772763503
11/25/2024,3760.19,3764.9,3730.96,3731.39,433347441
11/26/2024,3727.14,3728.81,3705.05,3712.39,283080900
11/27/2024,3718.96,3727.39,3699.77,3708.09,267939300
11/28/2024,3714.99,3737.25,3711.42,3737.25,267939300
11/29/2024,3715.01,3739.29,3709.96,3739.29,248532395
12/2/2024,3760.39,3771.7,3746.11,3751.35,238730230
12/3/2024,3780.62,3800.16,3778.4,3786.13,362502200
12/4/2024,3792.91,3812.04,3790.47,3799.94,251834800
12/5/2024,3812.37,3842.71,3810.11,3822.68,249048700
12/6/2024,3812.98,3816.17,3796.16,3796.16,243639800
12/9/2024,3791.62,3799.23,3786.05,3794.92,222428349
